"run_id","job_id","job_name","status","conclusion","started_at","completed_at","duration_s","runner_name","run_attempt"
17688872256,50278904462,"build","completed","success","2025-09-13T00:15:14Z","2025-09-13T00:25:33Z",619,"GitHub Actions 1000000059",1
17688872256,50278904475,"lint","completed","failure","2025-09-13T00:15:14Z","2025-09-13T00:15:39Z",25,"GitHub Actions 1000000060",1
17690270191,50282351857,"build","completed","success","2025-09-13T02:09:32Z","2025-09-13T02:20:13Z",641,"GitHub Actions 1000000062",1
17690270191,50282351859,"lint","completed","success","2025-09-13T02:09:32Z","2025-09-13T02:09:54Z",22,"GitHub Actions 1000000061",1
17692006939,50286817954,"lint","completed","success","2025-09-13T04:55:48Z","2025-09-13T04:56:08Z",20,"GitHub Actions 1000000064",1
17692006939,50286817958,"build","completed","failure","2025-09-13T04:55:48Z","2025-09-13T04:55:53Z",5,"GitHub Actions 1000000063",1
17749923410,50442685535,"build","completed","success","2025-09-15T23:53:30Z","2025-09-16T00:03:25Z",595,"GitHub Actions 1000000065",1
17749923410,50442685575,"lint","completed","failure","2025-09-15T23:53:29Z","2025-09-15T23:53:50Z",21,"GitHub Actions 1000000066",1
17750135541,50443320387,"build","completed","success","2025-09-16T00:07:10Z","2025-09-16T00:17:22Z",612,"GitHub Actions 1000000067",1
17750135541,50443320424,"lint","completed","success","2025-09-16T00:07:09Z","2025-09-16T00:07:34Z",25,"GitHub Actions 1000000068",1
17812843137,50640346320,"build","completed","failure","2025-09-17T23:01:32Z","2025-09-17T23:01:38Z",6,"GitHub Actions 1000000070",1
17812843137,50640346333,"lint","completed","success","2025-09-17T23:01:32Z","2025-09-17T23:01:55Z",23,"GitHub Actions 1000000069",1
17813102672,50641085858,"lint","completed","failure","2025-09-17T23:15:37Z","2025-09-17T23:16:00Z",23,"GitHub Actions 1000000072",1
17813102672,50641085859,"build","completed","success","2025-09-17T23:15:36Z","2025-09-17T23:25:59Z",623,"GitHub Actions 1000000071",1
17837685476,50718929388,"build","completed","failure","2025-09-18T18:17:36Z","2025-09-18T18:17:44Z",8,"GitHub Actions 1000000073",1
17837685476,50718929396,"lint","completed","success","2025-09-18T18:17:37Z","2025-09-18T18:17:59Z",22,"GitHub Actions 1000000074",1
17837971899,50719862586,"lint","completed","success","2025-09-18T18:29:33Z","2025-09-18T18:29:54Z",21,"GitHub Actions 1000000075",1
17837971899,50719862609,"build","completed","failure","2025-09-18T18:29:33Z","2025-09-18T18:29:42Z",9,"GitHub Actions 1000000076",1
17838180301,50720565004,"build","completed","cancelled","2025-09-18T18:38:46Z","2025-09-18T18:43:32Z",286,"GitHub Actions 1000000077",1
17838180301,50720565015,"lint","completed","success","2025-09-18T18:38:45Z","2025-09-18T18:39:07Z",22,"GitHub Actions 1000000078",1
17838314589,50721027727,"build","completed","success","2025-09-18T18:44:51Z","2025-09-18T19:04:48Z",1197,"GitHub Actions 1000000079",1
17838314589,50721027754,"lint","completed","success","2025-09-18T18:44:51Z","2025-09-18T18:45:10Z",19,"GitHub Actions 1000000080",1
17840793829,50729480291,"lint","completed","success","2025-09-18T20:37:53Z","2025-09-18T20:38:14Z",21,"GitHub Actions 1000000082",1
17840793829,50729480297,"build","completed","success","2025-09-18T20:37:53Z","2025-09-18T20:51:57Z",844,"GitHub Actions 1000000081",1
17842489833,50735133314,"lint","completed","failure","2025-09-18T22:03:27Z","2025-09-18T22:03:47Z",20,"GitHub Actions 1000000084",1
17842489833,50735133325,"build","completed","success","2025-09-18T22:03:27Z","2025-09-18T22:14:24Z",657,"GitHub Actions 1000000083",1
17842503387,50735177889,"build","completed","success","2025-09-18T22:04:06Z","2025-09-18T22:14:49Z",643,"GitHub Actions 1000000086",1
17842503387,50735177891,"lint","completed","failure","2025-09-18T22:04:06Z","2025-09-18T22:04:27Z",21,"GitHub Actions 1000000085",1
17842836644,50736176459,"lint","completed","success","2025-09-18T22:20:22Z","2025-09-18T22:20:44Z",22,"GitHub Actions 1000000087",1
17842836644,50736176471,"build","completed","success","2025-09-18T22:20:23Z","2025-09-18T22:30:44Z",621,"GitHub Actions 1000000088",1
17842977070,50736598576,"build","completed","success","2025-09-18T22:28:31Z","2025-09-18T22:38:21Z",590,"GitHub Actions 1000000089",1
17842977070,50736598579,"lint","completed","success","2025-09-18T22:28:31Z","2025-09-18T22:28:50Z",19,"GitHub Actions 1000000090",1
17842992445,50736647722,"build","completed","success","2025-09-18T22:29:27Z","2025-09-18T22:39:28Z",601,"GitHub Actions 1000000091",1
17842992445,50736647724,"lint","completed","success","2025-09-18T22:29:27Z","2025-09-18T22:29:50Z",23,"GitHub Actions 1000000092",1
17843055260,50736839904,"lint","completed","success","2025-09-18T22:33:02Z","2025-09-18T22:33:25Z",23,"GitHub Actions 1000000093",1
17843055260,50736839913,"build","completed","success","2025-09-18T22:33:02Z","2025-09-18T22:44:00Z",658,"GitHub Actions 1000000094",1
17843071304,50736890040,"build","completed","success","2025-09-18T22:33:57Z","2025-09-18T22:43:57Z",600,"GitHub Actions 1000000095",1
17843071304,50736890048,"lint","completed","success","2025-09-18T22:33:58Z","2025-09-18T22:34:22Z",24,"GitHub Actions 1000000096",1
17843126082,50737056517,"lint","completed","success","2025-09-18T22:37:02Z","2025-09-18T22:37:24Z",22,"GitHub Actions 1000000097",1
17843126082,50737056525,"build","completed","success","2025-09-18T22:37:03Z","2025-09-18T22:47:12Z",609,"GitHub Actions 1000000098",1
17843218716,50737335591,"lint","completed","success","2025-09-18T22:42:41Z","2025-09-18T22:43:05Z",24,"GitHub Actions 1000000099",1
17843218716,50737335597,"build","completed","success","2025-09-18T22:42:41Z","2025-09-18T22:52:54Z",613,"GitHub Actions 1000000100",1
17871930389,50827025991,"lint","completed","success","2025-09-19T23:20:38Z","2025-09-19T23:21:00Z",22,"GitHub Actions 1000000101",1
17871930389,50827025993,"build","completed","success","2025-09-19T23:20:50Z","2025-09-19T23:31:27Z",637,"GitHub Actions 1000000102",1
17872044666,50827327116,"build","completed","failure","2025-09-19T23:29:08Z","2025-09-19T23:37:28Z",500,"GitHub Actions 1000000104",1
